,HK16,HK19,HK24,HK25,HK26,WT16,WT19,WT24,WT25,WT26
RP11-206L10.5,4,1,8,7,2,1,1,5,3,5
RP11-206L10.4,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,60,30,52,57,41,5,40,42,47,56
RP11-206L10.9,32,16,63,49,22,1,9,123,40,72
RP11-206L10.8,26,6,35,27,20,5,4,26,36,37
AL669831.1,4,1,2,2,3,1,0,7,9,7
RP11-206L10.10,1,6,7,3,6,2,5,4,2,3
FAM87B,1,3,0,0,0,0,0,0,2,2
LINC00115,22,14,25,16,17,0,12,28,18,24
RP11-206L10.11,128,53,149,123,73,36,78,152,58,119
FAM41C,1,0,0,1,1,0,0,1,1,0
TUBB8P11,0,0,0,0,0,0,0,1,0,0
AL645608.2,0,0,0,0,0,0,0,0,0,0
RP11-54O7.16,2,2,2,0,1,0,1,1,0,1
RP11-54O7.1,1,15,7,4,11,6,17,12,1,15
RP11-54O7.2,0,2,0,2,1,0,0,1,0,0
RP11-54O7.3,24,44,52,51,18,22,40,47,16,25
SAMD11,32,73,100,49,46,91,81,59,17,38
AL645608.1,0,0,0,0,0,0,0,1,0,0
NOC2L,214,173,241,171,131,67,181,243,168,123
KLHL17,41,22,17,23,23,24,38,6,30,7
PLEKHN1,2,3,3,0,1,0,9,1,1,1
C1orf170,1,3,2,9,0,0,1,0,2,0
RP11-54O7.17,4,11,2,6,3,0,16,4,15,0
HES4,13,24,40,42,13,4,65,74,278,6
RP11-54O7.10,0,0,0,0,0,0,0,0,0,0
RP11-54O7.11,0,0,0,1,0,0,0,0,0,0
ISG15,19,30,47,39,9,7,60,26,53,32
AGRN,1290,945,1871,1231,967,285,1329,2004,1334,400
RP11-54O7.14,0,0,0,0,0,0,0,0,0,0
RP11-465B22.3,2,4,1,3,1,11,2,0,1,0
RP11-54O7.18,0,0,0,0,0,0,0,0,0,0
RNF223,0,0,5,3,0,0,2,0,0,0
C1orf159,61,42,48,30,22,34,56,34,32,49
RP11-465B22.5,10,2,6,9,7,0,3,3,0,0
MIR200B,0,0,1,4,3,0,1,0,0,0
MIR200A,0,2,4,4,2,0,1,0,0,0
MIR429,1,12,6,4,3,0,3,2,0,0
RP11-465B22.8,19,7,9,18,15,0,6,5,0,0
TTLL10-AS1,0,0,0,1,0,2,1,0,0,0
TTLL10,1,3,3,5,1,0,0,2,0,0
TNFRSF18,3,0,0,1,2,1,6,0,3,4
TNFRSF4,5,2,6,10,4,0,15,11,3,33
SDF4,534,247,480,290,266,154,391,305,258,231
B3GALT6,79,29,127,58,40,20,66,148,77,93
FAM132A,17,9,4,3,12,7,2,8,4,3
RP5-902P8.12,2,2,2,4,5,1,2,1,0,5
UBE2J2,177,118,169,144,93,71,139,206,177,132
RP5-902P8.10,9,12,0,3,6,0,14,7,3,4
SCNN1D,38,47,21,21,21,19,27,23,47,16
ACAP3,246,293,118,152,163,180,417,76,118,92
PUSL1,46,8,23,23,18,8,30,21,20,12
CPSF3L,227,312,294,201,143,194,282,238,221,326
RP5-890O3.9,17,42,18,26,23,28,39,29,18,46
GLTPD1,97,42,84,40,55,14,27,63,34,27
TAS1R3,2,0,0,0,1,3,1,2,1,1
DVL1,155,124,129,90,97,49,109,72,82,78
MXRA8,124,193,243,155,165,528,816,48,701,74
AURKAIP1,98,38,91,55,47,21,23,66,50,24
RP5-890O3.3,0,0,0,0,0,0,0,0,0,0
CCNL2,1446,1145,884,1037,852,703,835,1833,1512,1911
RP4-758J18.2,56,7,47,33,15,1,14,34,35,19
MRPL20,207,55,276,170,76,71,98,245,161,148
RN7SL657P,0,0,0,0,0,0,0,0,0,0
RP4-758J18.13,16,7,25,17,16,9,15,28,22,15
ANKRD65,13,7,30,22,13,8,8,38,3,61
RP4-758J18.7,0,0,4,4,0,0,2,2,0,4
TMEM88B,0,0,0,0,0,0,0,0,0,0
RP4-758J18.10,0,3,7,1,0,0,4,2,1,1
VWA1,155,108,295,147,118,54,267,122,52,68
ATAD3C,27,17,27,21,14,5,18,24,13,8
ATAD3B,90,176,84,71,78,105,165,79,74,176
